id,userId,name,address,city,isSuperhost,lat,lng,persons,rating,reviewsCount,type,cancelPolicy,deeplink,hostThumbnail,price_currency,price_rate,price_total,bathrooms,bedrooms,beds,previewAmenities,url,images,amenityIds
1055277831854819271,229152019,Second guest room,"Richmond, BC, Canada",Richmond,True,49.13890946970025,-123.13500031418467,1,4.9,10,Private room in rental unit,CANCEL_BETTER_STRICT_WITH_GRACE_PERIOD,https://www.airbnb.com/rooms/1055277831854819271?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/User-229152019/original/b382f816-ad7d-41af-90a1-26404f180d5a.png?aki_policy=profile_x_medium,CAD,67,67,0.5,1,1,"Free parking, Wifi, Kitchen",https://www.airbnb.com/rooms/1055277831854819271,"['https://a0.muscache.com/im/pictures/miso/Hosting-1050239569215002353/original/56fc349f-fcca-44cc-ada2-21407109e036.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1050239569215002353/original/ebc6db72-8774-4c9d-9741-751bfe73691f.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1050239569215002353/original/38554782-9036-472a-9c01-34bc3bed11a1.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1055277831854819271/original/2e52db1e-5cdc-4137-b7bb-41683353fa7f.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1055277831854819271/original/d0f7c628-0bb2-400d-942d-cb970a2f1ed8.jpeg?im_w=720']","[1, 4, 36, 8, 9]"
32638360,25361236,Spacious Room at YVR lic#23-031530,"Richmond, BC, Canada",Richmond,True,49.18916,-123.14869,1,4.74,437,Private room in home,CANCEL_FLEXIBLE,https://www.airbnb.com/rooms/32638360?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/User-25361236/original/160de37a-eb3f-4f27-89ed-59b95a013a8f.jpeg?aki_policy=profile_x_medium,CAD,141,141,1,1,1,"Free parking, Wifi, Self check-in",https://www.airbnb.com/rooms/32638360,"['https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/c9db10f2-9e4d-4661-af70-703bf7401b01.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/715a404e-f3f7-4e2d-8740-96c2e0099bf8.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/a28db91c-6add-4fa8-a93e-543139e58189.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/f3dd45d2-3978-4f38-97fc-e28f04ae03e1.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/2c5cc2b1-8389-4834-9221-19dff0c14487.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/9a8a25bf-1e92-40de-9e66-66a7f2c6f2e7.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/c197ea74-e468-4139-a462-f6cef5af3ac4.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/31ca0b96-d2b8-47c7-9311-db30eddf663b.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/0650628e-fd62-4f17-b955-1830bf9f093b.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/1e71cf2f-c93e-4e2b-b236-4385721568a8.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/5329d0ba-440f-40ac-88b9-57f70ce360c2.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/dda2b689-a0c4-47b6-9900-1c7c2522c4e0.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/26a300f8-b58c-427a-92bc-ee498cdba9e9.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/448836cf-2618-4017-bb6f-bc288220a6b8.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/f60c87f0-509b-43c2-84f9-060b228f5baa.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/f86bbcb4-8080-4149-9b77-41c64b709f10.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/09b806ae-c285-43b8-a024-3c8033231a39.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/2c3e9469-d418-48e9-b4be-a840d9e44690.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-32638360/original/70ed0f5c-ce42-49e7-80a9-37a20edee6e9.jpeg?im_w=720']","[1, 2, 4, 9, 137, 77, 79, 657, 85, 661, 86, 23, 665, 91, 667, 93, 30, 671, 672, 33, 97, 34, 35, 611, 37, 101, 103, 40, 41, 42, 44, 236, 45, 46, 51, 179, 308, 53, 56, 57]"
13701691,20664187,Charming garden level studio. Completely private.,"Vancouver, BC, Canada",Vancouver,False,49.24032,-123.06304,2,4.73,471,Entire home,CANCEL_MODERATE,https://www.airbnb.com/rooms/13701691?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/f06aaac8-98dd-4047-a6ca-9aa77ebeedcd.jpg?aki_policy=profile_x_medium,CAD,165,165,1,0,1,"Wifi, Kitchen",https://www.airbnb.com/rooms/13701691,"['https://a0.muscache.com/im/pictures/ba6303db-e160-4152-b1b1-4f0f2641e02e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/865e5ece-def7-4657-b849-eda5acbc62ca.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/ccea0098-752f-417a-bdae-f761250cc852.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/cddc577e-1dba-4356-a52e-9c8b6ab4720e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/363025f3-c678-4333-b7a5-7edf48ec2cf6.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/3c92957e-4cc9-4cb9-9bc9-fe6751598b4a.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/24f03ea4-19e9-4fca-85f8-dbad4bd401c3.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/40d05e72-d9e7-42c8-957f-59bf156d85e0.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/54059025-c34b-4d4f-92cc-0256f732cd83.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/b3ddd033-c65a-4007-a921-c8697a8ad365.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/1af25278-8a37-4363-9330-1c9ff162f097.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/60b71181-26d9-4d06-88fc-097486f93616.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/a4c74f73-3b0a-4a88-8111-155cf18e2b7d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/ce839572-8f53-4f40-a68e-0162eac6389b.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/f62f2136-d20f-4f98-94c6-a22236a08868.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/9c69252c-fb28-421e-8f7c-721799f45336.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/0bb373a5-7e06-478a-99f7-613cd96363b0.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/3d3f899e-27a2-42a1-9230-2e74f9263303.jpg?im_w=720']","[1, 3, 4, 8, 77, 85, 86, 23, 87, 89, 90, 91, 93, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 57]"
49469357,94403842,Cozy King Sized Bed Private Entrance Suite,"Richmond, BC, Canada",Richmond,False,49.16376,-123.17295,2,4.72,240,Entire guesthouse,CANCEL_STRICT_14_WITH_GRACE_PERIOD,https://www.airbnb.com/rooms/49469357?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/User-94403842/original/a24e969a-440d-49d6-a3c1-e59a5d648480.png?aki_policy=profile_x_medium,CAD,143,143,1,1,1,"Free parking, Wifi",https://www.airbnb.com/rooms/49469357,"['https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/8483bae9-733a-4e36-aa14-70a292a10b84.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/04bdcb65-0820-4ea2-941b-0e59e36e9f6d.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/e61171c0-86c3-4b17-a8bb-614dd81db9fb.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/f385821b-8905-4f6d-ab16-2ad3654f85c4.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/c751713b-abc4-43b8-9ac0-5078c57b489e.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/85e0cd11-50e7-4dd3-a39f-66e7be89ea8c.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/19da22e7-8945-4bc4-a4ba-13c342ba7dfc.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-49469357/original/208d4feb-591f-4b63-b681-b58bda231f18.jpeg?im_w=720']","[1, 35, 4, 36, 5, 37, 39, 40, 9, 41, 137, 42, 44, 77, 46, 47, 145, 146, 23, 663, 57, 89, 90, 30]"
817468470131939808,498146749,Safe Convenient Private Stay near YVR #23021242,"Richmond, BC, Canada",Richmond,True,49.16598,-123.15429,2,4.93,102,Private room in home,CANCEL_FLEXIBLE,https://www.airbnb.com/rooms/817468470131939808?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/User-498146749/original/b2fbf3f2-6fc1-486c-94a5-58c7fbc8ce52.jpeg?aki_policy=profile_x_medium,CAD,159,159,1,1,1,"Free parking, Wifi, Kitchen, Self check-in",https://www.airbnb.com/rooms/817468470131939808,"['https://a0.muscache.com/im/pictures/miso/Hosting-817468470131939808/original/c2f16f88-a3f5-4002-beb4-770b921590ac.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-817468470131939808/original/3959fc88-d4ba-42a6-9dd9-255c3ab8c7ad.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-817468470131939808/original/8fc817d4-e81c-4096-a3b3-b189ad437217.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-817468470131939808/original/6a2a8eac-03ab-4d93-b50a-d67a0ba4aee0.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-817468470131939808/original/c96f94c0-c2b1-4d2f-9641-f22c62a61bbf.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-817468470131939808/original/138bb8b6-4dd7-4665-b8ba-757f9681cc5d.png?im_w=720', 'https://a0.muscache.com/im/pictures/d552f2a7-736b-496f-9d61-13ba2944f4f6.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c1f6820f-ac0d-4846-a343-275a7b2b3c41.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/38b958de-3d4e-4efe-9d88-3846ec313508.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/1ba28554-4648-4399-9669-c294b5db4328.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/cf2e0563-cdad-491d-acc2-d83de65ca17d.jpg?im_w=720']","[1, 4, 8, 9, 73, 137, 649, 651, 77, 79, 80, 657, 86, 89, 665, 90, 91, 92, 93, 669, 30, 94, 415, 671, 33, 34, 35, 611, 36, 37, 101, 103, 40, 104, 41, 299, 683, 44, 236, 45, 47, 51, 54]"
1080603760094289979,468057278,Bedroom at Kits Point (DR),"Vancouver, BC, Canada",Vancouver,False,49.27576,-123.15154,2,4.56,9,Private room in home,CANCEL_FLEXIBLE,https://www.airbnb.com/rooms/1080603760094289979?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/User-468057278/original/6c5c9d91-b683-464f-ba87-a889e0a67a50.jpeg?aki_policy=profile_x_medium,CAD,203,203,2,1,1,"Wifi, Kitchen, Self check-in",https://www.airbnb.com/rooms/1080603760094289979,"['https://a0.muscache.com/im/pictures/e9c2d2d4-cf45-4f32-8a13-f5c3bfc5c855.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/03304d25-e647-4d7c-81db-1458c214c2ed.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/79a36027-c2df-4c91-a546-1e097e33f177.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/8e0d7d66-38ae-4724-8393-ae8eac4845c2.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/37682f9f-534f-40bb-bad6-48091acd8fde.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/6d17cded-d937-46dd-afe6-11d7639911ef.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/514ff6e3-49cd-43b7-837c-fc501e42ad0a.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d8474aa0-ef12-44bd-a603-52c0c434eb40.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/fd2aa6db-6901-4311-aa7a-c1b5341480c1.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/8c81045a-16e4-475b-aafd-54e5f5969f43.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/4c1c3882-0b1a-415a-9889-6f632e41f0c3.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/70d67562-b16c-45e2-b2fd-81ee754fda36.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/6f97e090-fe0a-40ae-8bb5-e17127a4ccde.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/55f51057-0266-41eb-b530-c2db97c3fc5c.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/ca21403e-25b7-4216-bc75-cb95a7d752e7.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/912d6b44-274b-427e-9416-92ead6f47c7d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/95aa299b-5c69-4ef8-823b-c875ea9516a4.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/6abc3354-79b3-44c4-88a8-c36beec14dbf.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/1a787ad1-556b-4d5e-b701-f45d17bf4971.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/59d75506-9dce-45ef-83d9-4e3e4f9012a0.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/fcbafbc8-a895-4409-833a-9c29463ccccd.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/e983a117-fe4a-4101-ae81-adf8ae3fd9c4.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/28855be1-950b-4d0a-b687-1b65909a76d9.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/1fc14443-bef6-4984-993c-05bcfa115b85.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/9ec2f4ea-09f2-45a7-89e7-d5bbf5513214.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/8b30015b-1137-4c1c-8b43-47f871db0219.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/86e02929-ad0e-45ed-883a-d0031bd1f3f7.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/52160935-f6e3-4556-81b6-bed3ef72c32e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/aac4e7ac-e9d3-43f7-90f8-2d60f6d93d3d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/a43ccd7c-0c5a-40d8-bdc4-6982cc756148.jpg?im_w=720']","[1, 4, 132, 5, 8, 137, 522, 657, 23, 663, 665, 30, 415, 671, 674, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 51, 308, 53, 315, 322, 77, 79, 85, 86, 89, 90, 91, 92, 93, 94, 95, 96, 99, 611, 101, 103, 104, 107, 236, 625, 626, 251]"
951721983196719383,29160937,Private bathroom ensuite room 1,"Richmond, BC, Canada",Richmond,True,49.157469983020796,-123.15284773155692,2,4.93,27,Private room in home,CANCEL_MODERATE,https://www.airbnb.com/rooms/951721983196719383?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/f196da13-3a79-41d7-8eb0-095546e28e62.jpg?aki_policy=profile_x_medium,CAD,138,138,1,1,2,"Free parking, Wifi, Self check-in",https://www.airbnb.com/rooms/951721983196719383,"['https://a0.muscache.com/im/pictures/miso/Hosting-951721983196719383/original/befe8bd6-ad51-4e30-9221-8f0c1cb74c98.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/26a56808-64d8-44d2-811e-e189d0d3f4c1.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/cdd6e1b8-1f90-4dc9-9ee1-79dd9ab6e33a.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-951721983196719383/original/63b27f8a-aa29-4672-9007-8073e6d699e2.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-951721983196719383/original/ad1bb17e-6a11-4587-899e-e2a2b1ffea82.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-951721983196719383/original/dbb6450c-5d43-43b1-be76-1394dea4cf19.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-951721983196719383/original/ab7f3ba0-f519-4463-bb33-4ec1db303c26.jpeg?im_w=720']","[1, 35, 611, 4, 103, 40, 9, 41, 42, 44, 45, 77, 80, 51, 53, 23, 669, 30, 31, 671]"
626376751841911743,301139328,Home Nest - 1 Bedroom Apartment Downtown Vancouver,"Vancouver, BC, Canada",Vancouver,True,49.279613,-123.124092,4,4.92,106,Entire condo,CANCEL_BETTER_STRICT_WITH_GRACE_PERIOD,https://www.airbnb.com/rooms/626376751841911743?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/cadf926a-9a92-47ac-900f-86aaa3dc6911.jpg?aki_policy=profile_x_medium,CAD,426,426,1,1,1,"Free parking, Wifi, Kitchen, Self check-in",https://www.airbnb.com/rooms/626376751841911743,"['https://a0.muscache.com/im/pictures/1529d42e-ba20-404c-931b-7945499391a8.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/fe0f7bee-b920-42b5-a791-590d50fd5ca4.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/7381daac-7721-478a-9048-772d972c1b8f.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/01f8737d-53f7-4104-ad2c-dd256644fe72.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/fcbe8250-af56-430d-a8be-eeef2ac61008.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/9ade800e-f39b-4aad-b166-dd739540c890.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/f705986c-3031-4800-a15b-aaf027183781.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/b7c36f73-bad7-4884-bfd3-0cc649716ce9.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/38cfd012-3cd8-4718-a035-33f75c0868f4.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/2d753338-366d-4310-907a-2751817c42ef.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/71cd02e0-e670-489d-8466-dd40a7d5f93a.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/79f0fa8f-f49d-4b37-8be7-032457afcff3.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/b83c540b-8d9b-4b8a-884d-033dc3d0d2d8.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/5662389b-c94d-47f9-865e-65eb4f66e4b7.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/7cf725fd-9e8d-4709-bce2-74d8510aa995.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/23cb8aff-398f-4267-9c23-5b7294225224.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/cdb8ef52-5952-4665-bf53-fb58472d46e7.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/92603b97-9d83-4c55-a5b6-a05649b813f9.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-626376751841911743/original/fce93e93-0ba4-4542-a66e-f462114aba1e.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/4e8c116a-2386-4bef-a8f4-4fbb70bde80d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/7301334f-30e1-4c35-b96d-0d0b7e768a52.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/a7ae9eab-6e7a-43fa-aaae-9a8d4b5d7688.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/89463ec7-1c02-4218-b4ea-0744545efc2b.jpg?im_w=720']","[1, 4, 8, 392, 9, 137, 394, 522, 139, 15, 657, 21, 280, 665, 27, 667, 30, 415, 671, 672, 33, 34, 35, 37, 40, 41, 44, 45, 47, 51, 179, 308, 54, 61, 64, 322, 73, 77, 79, 85, 86, 87, 89, 90, 91, 92, 476, 93, 94, 95, 96, 227, 100, 103, 104, 236, 625, 251, 510]"
37294314,280757172,Nest in the West,"West Vancouver, BC, Canada",West Vancouver,True,49.33247,-123.12552,2,4.96,451,Entire guest suite,CANCEL_MODERATE,https://www.airbnb.com/rooms/37294314?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/2900d663-339a-4783-9ffe-459f094e03d0.jpg?aki_policy=profile_x_medium,CAD,184,184,1,0,0,"Free parking, Wifi, Self check-in",https://www.airbnb.com/rooms/37294314,"['https://a0.muscache.com/im/pictures/3ccddab5-e851-4426-be90-581eb9337ad1.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/858848ef-5d30-45a8-bff1-1763e569fb3d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/f7989397-002a-4a57-b7d5-2b0ea3846716.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d38da90b-34b4-4654-88f2-6dd4cede5818.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/6d7c44aa-07de-47f9-b003-a757a8a79fcc.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/e6e1b2b1-053c-4265-a374-9fd251528a8a.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/ad5ab4ca-fd24-4e50-834a-80a25e7b9e7c.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/0ed34fc9-02d8-4af9-90b5-a1120e3724cb.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/8db155a8-f9f5-4405-84c2-243c91f1e22f.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/47d1aa54-e245-48ed-b276-0c433d38c65f.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/da1675ed-8a52-42c1-8e66-7847087901ab.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/dd680539-e4ba-4ef5-ad11-399bc9907410.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/ba0f0cb4-8b4f-4478-895f-337f04801be1.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/fa76d304-4bde-4a20-866e-051d9e434ae2.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/cff5d196-3045-46a0-98f9-d029caf65d8b.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/44e8ec80-0a3d-4b13-9b74-3e9ad1f423bd.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/fa301c7b-6417-4dbd-bca5-895f08daa465.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/85360e5a-5f44-4411-87a1-6122c973d945.jpg?im_w=720']","[1, 2, 4, 9, 77, 85, 23, 89, 90, 91, 92, 93, 30, 35, 36, 37, 101, 39, 40, 41, 42, 44, 45, 51, 54, 57]"
952142875884116872,69426,Large Bright Centrally Located Room  - Breakfast,"Vancouver, BC, Canada",Vancouver,True,49.22999586660469,-123.09501431464899,2,4.85,34,Private room in home,CANCEL_FLEXIBLE,https://www.airbnb.com/rooms/952142875884116872?check_in=2024-08-12&check_out=2024-08-13&adults=1&children=0&infants=0&pets=0,https://a0.muscache.com/im/pictures/user/User-69426/original/13f3aaa1-2d7d-4e1f-aa03-3a7a7d744b54.jpeg?aki_policy=profile_x_medium,CAD,137,137,1.5,1,0,"Free parking, Wifi, Kitchen",https://www.airbnb.com/rooms/952142875884116872,"['https://a0.muscache.com/im/pictures/dcac64fc-dfd8-4316-96e8-6c803b54c3cf.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/cdfafad4-e7f4-4eab-aa62-a62f8cee859d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/09355156-2285-4855-b2ba-d884ddced820.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/138610d5-2264-4877-bad7-9561597b5e58.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/b73053ff-c90a-4101-a7a3-212d9b3b0f19.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/61a8028c-fdb3-41c4-9051-ac4afe9a3063.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c1496d5d-c2ed-43c1-beb7-5e116931e8e9.jpg?im_w=720']","[1, 129, 4, 7, 8, 392, 9, 137, 522, 16, 23, 280, 25, 667, 30, 671, 672, 33, 34, 35, 36, 37, 40, 41, 44, 45, 46, 47, 179, 308, 66, 77, 210, 85, 86, 89, 90, 91, 219, 92, 93, 94, 95, 96, 227, 611, 100, 101, 236, 625, 251, 510]"
